Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
"WHATS POPPIN (feat. DaBaby, Tory Lanez &amp; Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",Jack Harlow,6/24/2020,USAT22003620,"4,051",21.2,"74,22,55,774","1,17,293","2,41,38,527",62,,,,,,,52,"39,896",,30,"2,58,351",,,,,"15,15,661",,1
Heyy,Heyy,Lil Baby,10-10-2022,USUG12207229,"4,039",21.2,"6,66,17,153","34,503","41,37,767",51,"2,93,47,420","3,43,023","64,508","2,07,31,098","13,97,86,101","17,10,21,132",11,"73,533",319,3,"9,039",6,"1,20,97,086","5,503",,"3,93,975",,1
Que Va,Que Va,Alex Sensation,08-04-2017,USUM71703862,"4,029",21.2,"39,87,79,586","38,061","1,15,38,458",59,"78,41,93,659","26,59,427","38,259","20,10,076","2,21,58,832","10,60,87,278",18,"7,551",,20,"84,828",17,"14,25,63,626","18,047",,"20,86,078",,0
sonnenbank.mp3,sonnenbank.mp3,YAKARY,11/24/2023,DGA0L2397076,"4,026",21.2,"6,11,27,558","16,750","27,67,597",,"67,62,701","61,532",,"8,60,217","1,01,88,593","8,71,27,057",5,"5,807",,3,"61,81,211",1,,,,"1,07,992",,1
Rampampam,Rampampam,Minelli,3/18/2021,ROGRA2101471,"4,041",21.2,"12,31,91,456","30,942","36,76,550",57,"15,25,52,030","9,10,614","7,56,819","4,34,02,019","1,13,98,49,739","56,66,042",47,"61,030",,25,"3,80,931",,"2,84,379",,,"56,87,186",,0
WA DA DA,FIRST IMPACT,Kep1er,01-03-2022,KRA492101456,"4,043",21.2,"17,26,57,413","16,436","40,57,129",54,"27,22,01,730","43,99,092","3,86,666","22,85,32,871","1,99,23,57,477","13,21,53,989",17,"2,619",148,3,"6,338",2,"4,15,556",423,,"4,45,034",,0
Seven Nation Army,Elephant,The White Stripes,01-01-2003,USVT10300001,"4,030",21.2,"1,65,78,66,786","2,06,953","6,40,36,444",81,"33,95,71,990","40,52,894","2,63,920","13,73,23,740","1,39,49,03,550","52,68,188",275,"1,84,079",124,86,"9,72,676",110,"91,24,22,054","5,66,339",,"1,01,08,433",,0
AHHH HA,AHHH HA,Lil Durk,2/22/2022,USQX92200794,"4,024",21.2,"10,44,11,097","51,535","94,71,098",54,"12,81,63,786","13,21,268","25,400","70,39,088","6,44,67,510","26,24,37,541",19,"6,187",320,6,"20,046",3,"1,41,36,317","5,643",,"3,82,012",,1
Do It Like That,Do It Like That,TOMORROW X TOGETHER,07-07-2023,USA2P2330060,"4,031",21.2,"10,26,43,968","11,419","73,92,399",59,"6,49,31,319","14,74,575","56,783","8,06,68,110","43,25,72,281","4,85,50,765",7,"22,946",360,11,"4,90,225",5,"10,97,475",419,,"2,88,636",,0
Nakhrewali,Nakhrewali,Prashant Nakti,03-04-2024,INE182439277,"4,049",21.2,"67,40,285",123,"3,16,142",,"4,58,85,773","3,82,184",,,,,,,,,,,,,,"7,404",,0
BEBECITA,BEBECITA,Skolim,5/31/2024,FRX872472215,"4,042",21.2,"1,15,283",17,"9,351",,"78,69,218","72,222",,,,,,1,,,,,,,,"1,083",,0
Enjoy Enjaami,Enjoy Enjaami,Dhee,03-05-2021,TCAFK2171359,"4,054",21.2,"4,42,31,951","7,286","14,84,104",50,"54,97,81,386","53,79,716",35,"1,308","29,422","9,424",17,301,,,,5,,,,"1,37,205",,0
Bezos I,Inside (The Songs),Bo Burnham,06-10-2021,USA2P2122060,"4,050",21.2,"22,52,56,279","53,441","43,57,998",60,"7,67,42,047","16,32,194","10,26,966","45,23,48,294","3,66,44,16,923","9,95,889",11,105,291,1,"3,316",,"19,13,860","10,222",,"15,02,927",,1
Where Have You Been,Talk That Talk (Explicit),Rihanna,01-01-2011,USUM71118074,"4,028",21.2,"69,94,39,249","1,20,535","3,72,64,448",69,"82,10,28,883","42,07,574","1,36,733","7,06,19,201","82,46,07,003","14,91,23,113",72,"52,842",113,36,"4,32,542",19,"45,45,77,540","2,18,323",,"79,29,856",,0
Pelle Coat,Pelle Coat,Lil Durk,5/25/2023,USQX92303167,"4,055",21.2,"2,58,98,720","17,854","18,09,445",50,"2,18,08,363","1,73,005","6,354","9,81,910","1,63,24,229",,30,413,4,5,"57,064",8,"25,93,246","1,419","71,53,821","3,17,600",,1
22,22,JayO,2/22/2023,US39N2300484,"4,079",21.1,"8,70,01,628","30,898","1,20,34,538",62,"2,06,80,259","2,63,409","2,69,738","6,83,78,856","56,69,61,428","5,06,356",25,"4,472",,8,"2,01,337",41,"43,448",383,,"8,45,534",,1
No Love,Still Over It,Summer Walker,11-05-2021,USUM72118238,"4,063",21.1,"26,50,40,914","45,783","1,84,36,392",69,"10,32,82,847","10,61,969","30,239","1,79,49,240","13,17,70,714","8,81,64,139",47,"27,632",393,16,"10,44,791",11,"5,43,18,284","11,524",,"9,86,619",,1
Piensan,Piensan,Myke Towers,9/13/2019,QM7281950868,"4,059",21.1,"38,70,94,388","61,560","93,22,479",70,"43,96,12,099","22,26,916","57,422","1,32,64,006","8,18,26,396","1,23,09,561",16,664,,2,"23,079",4,"1,24,82,845","2,250",,"6,31,168",,1
Feels Like Summer,Summer Pack,Childish Gambino,07-11-2018,USRC11802773,"4,071",21.1,"31,59,97,441","1,04,490","1,38,75,886",65,"39,21,28,653","39,60,133","24,251","43,11,105","5,47,27,766","13,30,55,790",63,"3,453",,45,"1,74,079",18,"4,17,46,108","29,624",,"16,22,468",,0
Fly Away,Fly Away,Tones And I,11/13/2020,USAT22006865,"4,076",21.1,"41,95,57,907","58,857","1,47,47,928",64,"6,00,22,490","6,00,320","4,58,353","8,43,19,796","1,03,42,46,968","9,20,471",121,"77,964",,25,"49,224",6,"4,04,19,797","12,929","18,63,329","18,81,817",,0
Don't,Don't,Bryson Tiller,5/20/2015,USRC11501052,"4,058",21.1,"1,28,17,04,427","1,277","3,42,709",37,"50,63,08,579","30,63,149",,,,"5,22,66,003",47,"29,081",,,,3,"64,48,40,340","2,65,115",,,,0
Little Do You Know,Little Do You Know,Alex & Sierra,01-01-2014,USSM11404193,"4,077",21.1,"73,26,51,478","76,941","2,90,43,662",65,"51,14,28,536","59,24,267","10,05,996","7,62,55,229","66,34,77,196","1,86,64,403",37,198,,20,"83,357",8,"47,51,43,620","2,84,882",,"13,50,264",,0
Travesuras,Travesuras,Nicky Jam,1/27/2014,COC011329796,"4,078",21.1,"30,88,11,426","35,237","1,16,39,231",61,"1,18,26,76,666","30,48,769","2,79,517","18,05,891","2,46,62,350","24,78,07,333",46,"13,710",89,24,"1,04,500",,"20,45,33,906","1,19,930",,"46,90,577",,0
Mayor Que Usted,Mayor Que Usted - Single,NATTI NATASHA,6/17/2022,USB272200101,"4,068",21.1,"12,04,04,381","17,334","63,56,554",54,"21,75,20,607","12,40,522",,,,"22,50,74,756",17,"22,234",189,6,"61,127",13,"1,55,94,160","1,357",,"4,46,475",,0
Tï¿½ï¿½moignage (L,Tï¿½ï¿½moignage (Live) - Si,Eunice Manyanga,11/28/2022,USL4Q2261458,"4,067",21.1,"7,40,008",335,"8,055",34,"2,21,63,251","83,415","14,89,200","41,26,117","8,17,29,317",,1,,,,,,,,,"1,06,673",,0
ALCH SI,Alch Si,Carin Leon,11/30/2023,BK4DA2323373,"4,061",21.1,"12,59,38,742","6,042","93,78,348",,"4,44,62,722","2,87,551",,,,"27,32,65,348",5,,,10,"87,55,716",13,,,,"3,06,536",,0
FARDOS,FARDOS,JC Reyes,2/16/2024,BK4DA2403089,"4,072",21.1,"5,25,85,215","5,947","1,16,32,200",71,"1,78,20,860","1,31,403",,,,"8,06,80,292",9,"1,988",,7,"5,37,320",4,,,,"1,75,168",,0
Martini,Martini,Dei V,4/25/2024,QZWA32200524,"4,073",21.1,"1,91,04,053","2,466","1,65,40,673",72,"73,06,812","69,075",,,,"3,37,420",11,24,,2,"34,690",8,"47,845",43,"1,84,639","65,699",,1
Favorite Song - Sped Up,Favorite Song (Versions) - Single,Toosii,2/17/2023,USUM72302519,"4,066",21.1,"1,19,23,405","2,423","12,59,173",41,,,"14,99,296","6,33,87,833","52,72,32,531",,1,281,,,,8,"2,69,872","4,453",,"1,51,982",,0
Out Of My Hands,WE STILL DON'T TRUST YOU,Future,04-12-2024,USSM12403103,"4,062",21.1,"1,94,20,471","5,261","21,77,045",,"21,21,380","35,442",,,,,1,27,,,,,"1,49,594",198,,"91,683",,1
LOT OF ME,We Love You Tecca 2,Lil Tecca,8/27/2021,USUM72113387,"4,069",21.1,"31,80,61,543","75,726","1,48,66,086",73,"4,40,97,619","6,64,394","2,09,608","3,96,45,243","30,05,55,534","33,38,216",4,99,11,,,9,"23,66,166","13,479",,"2,84,740",,0
Someone Like You,538 Hitzone 58,Adele,07-07-2011,NLD141100065,"4,080",21.1,,39,"10,847",,"2,40,37,13,406","1,13,49,859",,,,"1,83,60,56,376",,,,,,,,,,,,0
Mil Veces,Mil Veces,Anitta,10/20/2023,USUG12307259,"4,070",21.1,"5,85,94,676","4,863","77,97,990",,"5,14,23,861","6,42,905","1,61,312","4,78,94,998","53,94,93,388","8,19,65,895",16,"8,512",,34,"9,52,107",25,"1,40,407",124,,"1,63,905",,0
Yaar Ka Sataya Hua Hai (feat. Nawazuddin Siddiqui),Yaar Ka Sataya Hua Hai,B Praak,07-03-2023,INUM72300807,"4,060",21.1,"4,53,06,335","1,868","12,04,901",54,"14,72,59,041","15,96,909","39,300","15,36,089","4,22,69,499","8,57,56,632",,371,,,,3,178,,,"88,781",,0
Members Only (feat. PARTYNEXTDOOR),For All The Dogs,Drake,10-06-2023,USUG12306079,"4,075",21.1,"6,41,68,685","21,270","45,93,922",,"84,85,348","63,704",,983,"11,535","3,22,69,965",6,57,,,,1,"31,26,381","1,798",,"2,22,113",,1
King's Dead (with Kendrick Lamar & Future),King''s Dead (with Kendrick Lamar & Future),Jay Rock,01-12-2018,USUM71714093,"4,081",21.1,"59,71,67,984","1,06,817","2,21,30,665",65,"22,99,46,161","28,33,259","8,29,396","18,99,35,359","1,10,11,18,641","1,69,32,626",84,"2,107",38,27,"1,06,997",16,"8,55,19,386","49,601","23,10,759","25,71,189",,1
Aashiq Awaara (feat. Sunidhi Chauhan),ONE (Original Never Ends),Badshah,8/17/2018,INS171806603,"4,056",21.1,"25,74,126",400,"1,34,449",27,"1,03,38,03,791","47,09,012",158,"16,676","27,85,871","10,06,41,302",4,150,,,,2,"4,62,916",,,"17,003",,0
Off The Record,Off The Record,IVE,10-06-2023,QMDA72364151,"4,064",21.1,"5,80,48,453","6,562","19,53,126",,"6,79,78,137","6,88,436","86,755","53,27,214","5,17,71,253","56,77,22,458",9,518,,3,377,9,"1,43,565",87,"2,10,536","1,18,130",,0
BABY SAID,RUSH!,Mï¿½ï¿½ne,1/20/2023,ITB002200844,"4,057",21.1,"16,69,42,258","24,993","1,65,30,205",71,"2,31,43,608","2,05,874","8,410","27,46,100","3,94,81,015","65,085",26,"62,922",17,36,"4,72,187",19,"27,60,534",758,,"11,72,656",,0
Gangstas,Shoot For The Stars Aim For The Moon,Pop Smoke,07-03-2020,USUM72013354,"4,065",21.1,"23,48,89,039","1,06,769","68,40,214",62,"12,15,84,355","10,28,988","1,16,976","81,93,597","11,83,04,933","9,912",12,224,,3,"68,030",,"1,85,38,610","3,946",,"7,54,490",,1
Too Good,Views,Drake,4/29/2016,USCM51600088,"4,074",21.1,"1,05,24,73,730","1,26,251","3,09,38,220",68,"1,09,90,620","1,27,032","8,22,513","3,43,68,983","30,87,97,315",,176,"28,897",1,33,"2,56,100",22,"36,30,23,813","1,29,377",,"45,77,263",,1
Alone,Alone,Rod Wave,08-09-2022,USQX92203746,"4,098",21,"6,45,62,541","14,704","18,68,777",55,"6,30,51,891","5,88,504","28,159","48,03,835","3,81,23,007","17,75,62,407",11,"1,310",181,1,"2,011",3,"2,00,18,298","19,518","1,48,54,093","2,62,393",,1
Veggie Dance - Remix,Veggie Dance (Remix) - Single,Gracie's Corner,5/31/2024,CH7819500531,"4,091",21,"1,73,242",19,"3,78,669",,"76,18,257","63,190",226,,,,,,,,,,"2,218",115,,"3,079",,0
One Up,One Up,Central Cee,10/13/2022,US39N2202101,"4,101",21,"13,07,84,398","51,124","96,18,606",62,"3,65,78,844","4,97,282","6,745","18,83,130","3,27,10,454","18,83,96,283",10,725,484,3,"14,835",9,"1,94,128",195,,"2,22,376",,0
idfc,Idfc,blackbear,10/26/2014,TCACB1407069,"4,117",21,"70,30,08,289","1,07,737","2,77,95,750",65,"67,65,19,290","83,02,787","4,60,509","15,48,79,439","1,20,21,18,262","22,48,02,094",13,24,4,5,"7,400",1,"13,67,76,071","1,02,864",,"79,20,489",,1
Revisando El Celu,Revisando El Celu,HCTM,08-03-2022,SGB502230698,"4,093",21,"8,761",12,"1,508",,"30,515",811,"23,00,000","1,55,89,426","29,09,30,740",,,,,,,,,,,"7,836",,0
"Not Ramaiya Vastavaiya (From ""Jawan"")","Not Ramaiya Vastavaiya (From ""Jawan"")",Anirudh Ravichander,8/29/2023,INS182302435,"4,085",21,"4,68,79,854","2,866","9,99,328",,"12,20,41,931","13,23,316",,,,"15,63,31,427",6,528,,,,6,,,,"36,868",,0
"Are You Going to See the Rose in the Vase, or the Dust on the Table","Are You Going to See the Rose in the Vase, or the Dust on the Table",$uicideboy$,4/19/2024,QZAPK2000495,"4,116",21,"2,88,70,396","4,298","1,52,28,224",78,"26,40,169","75,740",,,,"15,69,095",2,3,103,3,"77,456",3,"5,22,361",224,,,,1
Only Girl (In The World),Loud (Japan Version),Rihanna,01-01-2010,USUM71023200,"4,090",21,"1,08,54,36,198","1,92,284","8,22,58,717",78,"16,24,54,294","11,93,141",853,"1,31,167","15,13,290",,113,"2,27,403",212,70,"15,28,409",40,"50,70,23,502","2,73,933","13,94,635","67,24,803",,0
OTW,OTW,Khalid,4/20/2018,USRC11801716,"4,087",21,"62,32,01,391","89,059","1,54,06,560",63,"22,14,57,313","13,49,006","10,462","9,16,392","1,05,83,591","1,42,34,132",57,"14,634",11,23,"1,35,840",7,"26,78,23,391","61,526",,"24,34,197",,1
Who Needs Love,Who Needs Love,Trippie Redd,11/19/2019,QZJ841900065,"4,107",21,"23,80,27,193","60,128","83,06,828",4,"7,97,82,493","11,47,086","5,653","20,48,070","1,31,94,733","11,05,379",16,8,,6,"1,07,847",,"1,11,67,136","19,422","3,99,01,762","3,40,905",,1
We Laugh And Clap At The Circus,Crash Recoil,Surgeon,3/17/2023,DEF272335104,"4,115",21,"37,199",138,"30,013",11,"22,38,30,750","4,51,451",,,,,,3,,,,,245,,,,,0
Hit Different,Hit Different,SZA,09-04-2020,USRC12002998,"4,097",21,"25,49,79,267","50,550","1,32,67,378",63,"23,47,85,367","23,33,652","56,460","1,05,23,558","7,60,24,269","17,48,619",86,"46,258",19,32,"7,60,820",28,"6,43,71,686","18,949","15,78,488","9,61,364",,1
Como En Los Viejos Tiempos,Como En Los Viejos Tiempos - Single,Eden Muï¿½ï,11/20/2023,QZYYM2300004,"4,088",21,"3,78,31,332","2,880","38,50,183",,"6,08,90,936","2,43,887",,"7,48,585","1,35,70,678","31,63,58,406",9,"5,168",3,6,"60,268",1,"65,37,667",835,,"3,04,233",,0
Baby Car,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Bebefinn,10/28/2022,KRE672200293,"4,110",21,,3,29,,"29,40,39,774","4,40,593",,"21,660","16,06,012",,,,,,,,,,,,,0
Rubicon Drill,Forever - EP,Laddi Chahal,11/16/2022,DGA062247225,"4,082",21,"15,25,64,352","10,841","55,78,293",65,"17,90,53,648","14,33,419","1,52,500","25,97,157","3,42,63,765","7,95,121",10,30,,,,4,,,,"1,70,858",,0
Un Cigarrillo,Un Cigarrillo,Chencho Corleone,05-04-2023,QZXSR2300001,"4,109",21,"11,34,02,349","14,752","98,13,030",66,"6,94,36,829","4,16,921","34,800","20,64,549","3,29,00,841","3,36,84,945",15,"14,160",208,9,"93,689",9,"80,88,042",838,,"4,71,584",,0
Nhï¿½ï¿½ï¿½ Ngï¿½ï¿½ï¿½ï¿½ï¿½i Hay Nhï¿½ï¿½,Nhï¿½ï¿½ï¿½ Ngï¿½ï¿½ï¿½ï¿½ï¿½i Hay Nhï¿½ï¿½,Chau Dang Khoa,4/30/2021,QZMHN2025919,"4,096",21,"30,269",40,"6,367",,,,"36,65,693","7,38,08,514","1,60,30,97,724",,,,,,,,,,,,,0
Birthday Sex,Jeremih (Edited Version),Jeremih,01-01-2009,USUM70959630,"4,099",21,"48,14,14,844","93,752","2,28,44,956",65,"32,49,47,792","29,54,295",9,"30,028","2,58,300","2,33,57,713",36,"21,097",8,8,"1,13,774",14,"44,27,78,851","14,26,966",,"33,71,435",,0
Paradise,Paradise,Sophie and the Giants,6/16/2023,DEUM72307270,"4,112",21,"3,18,23,450","7,077","78,32,473",60,"34,19,656","26,067",,,,,23,"1,21,303",,26,"2,34,938",18,,,,"9,57,656",,0
Los Patitos,Grandes Clï¿½ï¿½sicos Infantiles (Vol,El Reino Infantil,4/20/2010,ARF060903046,"4,086",21,"34,15,634",316,"2,87,926",34,"2,16,05,14,390","28,91,961",463,"8,474","5,01,700",,,,,,,,,,,109,,0
Te Ire A Buscar,Te Ire a Buscar,Santa Fe Klan,6/18/2019,USHM21919246,"4,106",21,"30,52,31,016","27,465","42,59,174",66,"64,70,42,101","38,51,962","63,528","1,28,91,074","13,06,11,371","26,52,958",10,20,,8,"1,60,804",7,"1,32,18,062","4,082",,"6,67,427",,0
DORA,DORA - Single,FARIANA,3/14/2024,QM4TX2443952,"4,100",21,"1,13,28,011","1,389","32,10,604",64,"3,03,26,697","2,82,371","1,804","1,84,00,796","16,52,20,930","88,50,495",8,513,588,3,"6,496",6,"3,47,060",134,,"1,86,737",,1
Better Place (From TROLLS Band Together),Better Place (From TROLLS Band Together),*NSYNC,9/29/2023,USRC12301385,"4,095",21,"6,90,41,864","10,118","70,35,846",,"2,79,51,941","2,73,780","13,519","62,48,728","5,70,13,361","65,010",31,44,19,19,"77,583",36,"74,00,345","18,047",,"8,77,878",,0
Spicy Margarita,Spicy Margarita,Jason Derulo,1/25/2024,USAT22314111,"4,118",21,"3,76,40,497","4,937","35,78,804",4,"87,82,557","1,73,663",,"3,49,900","1,18,00,000","10,27,14,703",10,"20,426",,10,"45,058",42,"12,91,893","1,211",,"4,61,736",,0
Cry,Cry,Cigarettes After Sex,10/25/2019,USBQU1900121,"4,105",21,"49,97,64,238","79,594","3,06,26,148",78,"10,04,43,510","10,71,510","86,986","7,28,51,545","43,84,75,493","5,94,980",3,114,,4,"1,16,015",4,"20,25,228","2,070","1,49,35,595","18,22,950",,0
Tequila,Tequila,Dan + Shay,01-10-2018,USWB11702518,"4,092",21,"60,19,87,422","52,580","1,14,98,486",65,"5,41,65,764","4,56,799","82,872","42,94,884","4,31,74,144","36,93,637",3,"2,04,810",138,5,"1,242",60,"32,48,97,256","1,42,351","95,99,130",,,0
Energy,Energy,Digga D,03-09-2023,GB2DY2300114,"4,113",21,"4,30,78,993","31,275","21,95,709",52,"1,06,99,230","1,23,634","1,34,000","3,05,97,301","30,63,10,318",,9,"3,645",103,,,5,"28,410",47,"41,02,693","1,28,246",,1
Rockstar (2020 Remaster),All The Right Reasons (15th Anniversary Expanded Edition),Nickelback,10-02-2020,USRH12000116,"4,084",21,"53,76,23,170","4,310","13,12,897",66,,,,,,,29,,,,,7,"29,75,40,832","3,03,019",,,,0
Amorfoda,Amorfoda,Bad Bunny,2/15/2018,TCADM1875911,"4,111",21,"33,97,421","1,410","3,14,487",,"1,13,49,60,177","87,54,011",,,,"17,49,40,178",,,,,,,,,,,,0
ýýýýýýýýýýýý,ýýýýýýýýýýýý,Omoinotake,1/24/2024,JPU902305217,"4,114",21,"4,60,82,088","1,755","52,04,396",72,"4,59,34,211","2,65,825",,,,"54,12,94,021",36,442,,1,"9,615",3,,,,"2,90,079",,0
Polaroid Love,DIMENSION : ANSWER,ENHYPEN,01-10-2022,USA2P2146748,"4,102",21,"28,34,55,095","30,103","70,31,163",68,"15,31,19,745","27,63,024","5,74,323","30,28,39,855","2,46,88,65,989","11,82,49,917",9,"3,305",21,2,"6,152",14,"14,79,536","1,384",,"4,01,676",,0
HONEY (ARE U COMING?),RUSH!,Mï¿½ï¿½ne,1/20/2023,ITB002301189,"4,083",21,"11,98,53,822","19,565","1,18,56,255",,"3,76,91,895","5,77,863","5,020","30,12,428","4,72,59,081","1,82,52,082",41,"81,324",158,28,"3,22,293",39,"20,63,738",533,"1,74,913","8,00,498",,0
What A Man Gotta Do,What A Man Gotta Do,Jonas Brothers,1/17/2020,USUG11904422,"4,104",21,"50,52,95,731","47,908","2,50,22,588",64,"15,13,35,556","17,72,300","25,388","53,43,796","4,81,26,470","9,77,14,946",76,"2,11,790",222,36,"4,63,898",46,"5,14,86,501","36,350","2,08,843","25,72,578",,0
Gyal You a Party Animal - Sped Up,Gyal You a Party Animal (Sped Up) - Single,Charly Black,12/16/2022,FR81J2300013,"4,089",21,"3,60,44,532","9,007","14,25,539",51,,,"15,14,400","28,03,29,364","3,58,05,17,630",,1,12,,,,1,,,,"89,527",,0
Do It Again,Do It Again,Pia Mia,05-04-2015,USUM71505606,"4,094",21,"52,04,07,542","64,298","1,44,31,993",66,"64,88,38,091","29,19,414","33,94,835","6,67,83,189","52,38,12,670","15,86,40,173",24,112,,9,"64,296",,"4,25,13,830","36,476","5,89,758","2,33,549",,1
Di Mochkila,Di Mochkila,Oualid,01-05-2024,NL4LA2300002,"4,103",21,"75,06,086","2,054","18,30,094",,"6,35,98,076","4,07,070",,,,"7,51,06,131",1,669,,,,,,,,"1,26,726",,0
Lemon,Lemon,Kenshi Yonezu,3/14/2018,JPU901800227,"4,108",21,"19,49,55,459","27,767","46,09,513",63,"91,82,97,076","33,87,075","10,560","22,61,247","1,99,49,350","58,57,94,619",39,"1,953",,3,"7,049",4,"1,63,464",594,,"6,08,684",,0
Margiela,Margiela,Ezhel,10/26/2023,QMFME2377602,"4,135",20.9,"6,65,53,836","11,570","19,99,209",,"3,37,59,085","1,74,360","85,785","46,51,599","10,14,13,456","20,65,84,406",5,"1,632",,3,"6,799",,,,,"1,33,037",,1
Me and My Brother,Me and My Brother,5ive,07-12-2019,USQX91901641,"4,131",20.9,"11,18,94,875","36,302","18,40,798",59,"11,30,44,166","11,65,613","11,10,500","5,70,69,383","50,57,95,992",,1,9,,,,,,,"4,20,37,834",,,1
How To Love,Tha Carter IV (Deluxe),Lil Wayne,01-01-2011,USCM51100147,"4,130",20.9,"30,24,19,750","54,906","1,20,43,337",61,"36,93,21,004","24,98,223","61,167","53,09,565","6,40,70,340","3,60,77,730",25,"10,909",7,7,"32,140",9,"51,62,18,858","12,08,821",,"20,70,955",,0
A Tu Manera,A Tu Manera,Junior H,2/16/2024,QZ9QQ2400131,"4,138",20.9,"6,02,48,282","3,109","41,40,595",,"2,88,73,716","4,28,928",,,,"39,50,98,267",5,51,,4,"12,90,245",2,"25,42,304",782,"33,816","1,34,122",,0
SNEAKERS,CHECKMATE,ITZY,7/15/2022,US5TA2200033,"4,128",20.9,"9,59,52,617","10,516","39,21,848",56,"25,95,67,120","47,92,675","94,849","11,07,11,487","74,53,39,618","13,65,31,328",7,"1,906",54,4,"9,169",16,"3,20,748",429,,"2,03,035",,0
FLECHAZO EN EL CENTRO,TU DUO FAVORITO,YSY A,09-06-2023,QZNJZ2390819,"4,142",20.9,"11,66,25,807","13,718","87,93,008",72,"5,36,69,961","3,00,699",,42,305,"14,85,906",,108,,5,"2,87,329",9,221,,,"57,601",,0
LET THE WORLD BURN,LET THE WORLD BURN,Chris Grey,03-08-2024,QZZ662445642,"4,136",20.9,"3,53,84,383","3,522","93,65,423",74,"97,32,061","1,92,816",,,,,4,,,,,,"1,23,192",766,"11,64,565","91,407",,1
Solar Eclipse,Solar Eclipse,YoungBoy Never Broke Again,01-11-2018,USAT21705449,"4,134",20.9,"9,90,37,719","22,065","28,53,491",55,"18,35,85,531","10,79,875","15,596","36,51,900","2,13,67,061","39,33,494",7,43,,1,"4,717",,"6,92,90,303","41,418","7,42,11,875","4,70,384",,1
Before You Go - Guitar Acoustic,Before You Go EP,Lewis Capaldi,1/24/2020,DEUM72000017,"4,120",20.9,"5,22,23,414","4,281","45,80,882",55,,,"3,360","10,29,619","1,30,55,824",,6,"7,36,661",,9,"31,545",,"27,51,360","4,551",,"1,45,876",,0
ASAP,NewJeans 2nd EP 'Get Up',NewJeans,7/21/2023,USA2P2330074,"4,133",20.9,"11,27,30,335","14,089","17,50,375",67,"6,06,93,447","14,33,258","99,500","2,22,67,739","20,59,67,218","94,41,934",5,216,2,,,2,"4,60,358",372,,"1,18,065",,0
No Switch,Colors (Deluxe),YoungBoy Never Broke Again,1/21/2022,USAT22200200,"4,119",20.9,"5,38,49,840","27,244","21,84,520",60,"6,04,16,082","6,19,963","23,588","52,55,275","4,07,27,724","26,56,64,414",,528,4,,,,"25,06,210","7,341","2,04,23,284","3,54,115",,1
How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,4/19/2024,USUG12402543,"4,140",20.9,"7,26,34,553","2,185","1,43,12,275",,"60,10,840","84,048",,,,,6,48,,,,21,"6,51,838",393,,,,0
Vivencias,Vivencias - Single,Kayz66,06-07-2024,QZNWT2449758,"4,121",20.9,"1,14,95,032",4,"2,765",,,,,,,,,,,,,,,,,"1,62,862",,1
Rude Boy (Superbowl Klean),Rude Boy (Superbowl Klean) - Single,DJ San,2/21/2023,QZDA82340022,"4,127",20.9,"1,21,283",195,"9,168",,"23,08,28,310","35,55,140",,,,,,447,,,,,,,,"39,003",,1
Heatin Up (feat. Gunna),My Turn,Lil Baby,2/28/2020,USUG12000045,"4,122",20.9,"19,85,73,138","71,523","1,12,08,233",61,"6,37,95,996","4,96,579","1,34,785","2,74,20,940","27,91,68,145","62,68,640",25,855,,2,54,2,"6,56,28,419","6,801","2,37,18,086","4,51,842",,1
Sleazy Flow (with Lil Baby) - Remix,Sleazy Flow (Remix),SleazyWorld Go,5/26/2022,USUG12202987,"4,129",20.9,"12,77,42,133","48,520","1,46,17,698",58,,,"17,628","47,07,388","4,55,73,722",,20,"49,234",133,,,18,"5,15,80,146","8,433",,"8,06,866",,1
Run BTS,Proof,BTS,06-10-2022,USA2P2226298,"4,132",20.9,"43,93,95,056","23,010","2,16,76,194",71,,,"11,59,736","48,98,21,873","2,84,90,48,545",,6,"1,176",,2,"25,844",9,"16,61,771","2,708",,"9,51,555",,0
Never Sleep (feat. Lil Baby),Never Sleep,NAV,7/29/2022,USUM72214489,"4,123",20.9,"13,09,02,100","56,267","1,78,13,781",56,"2,45,21,973","3,47,778",75,"72,402","5,05,539","40,36,644",29,"3,981",165,6,"4,39,423",11,"1,92,32,624","1,120",,"5,55,191",,1
Iï¿½ï¿½ï¿½m Ju,Barbie The Album,Ryan Gosling,7/21/2023,USAT22305736,"4,124",20.9,"12,62,19,979","18,525","29,16,952",60,"2,87,25,678","6,08,921","97,794","7,93,38,367","56,02,99,833","1,86,39,71,072",22,,18,4,"39,010",14,"9,98,674","8,241",,"3,63,187",,0
