Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
First Person Shooter (feat. J. Cole),For All The Dogs,Drake,10-06-2023,USUG12306094,"3,282",24,"32,85,26,298","14,390","66,81,758",,"1,70,47,473","2,17,601","93,800","1,83,44,787","19,70,98,789",407,24,37,,6,"1,23,064",,,,,,,0
Downtown,Downtown,Anitta,11/19/2017,BRWMB0700761,"3,279",24,"67,89,28,131","57,167","1,95,66,520",72,"77,56,03,021","51,85,313","2,72,600","7,20,91,395","56,75,35,888","41,91,11,609",58,"8,828",141,144,"2,54,568",46,"5,72,68,252","20,138",,"25,88,672",,0
Crï¿½ï¿,Crï¿½ï¿,KAROL G,11-02-2018,USUM71817050,"3,287",24,"47,48,63,499","33,671","1,42,88,251",67,"81,78,44,545","38,01,744","22,342","13,20,930","2,16,32,035","14,97,59,944",28,"6,537",8,24,"2,09,963",34,"6,04,96,578","8,863",,"51,229",,0
"Go Loko (feat. Tyga, Jon Z)",Go Loko,YG,05-03-2019,USUM71904934,"3,306",23.9,"35,98,28,344","77,046","1,11,68,503",56,"29,40,72,510","31,84,637","13,11,823","4,05,32,086","28,99,28,883","31,59,297",29,"13,007",97,21,"37,239",4,"4,77,22,670","61,724",,"21,42,565",,1
REMIX EXCLUSIVO,REMIX EXCLUSIVO,Feid,3/17/2023,USUM72304040,"3,292",23.9,"18,54,48,173","32,140","1,77,04,359",66,"6,47,74,453","4,86,024","17,536","23,13,721","1,93,49,275","5,630",18,"4,148",25,5,"3,81,761",19,"36,45,201",353,,"3,47,852",,1
"ZEIT, DASS SICH WAS DREHT","ZEIT, DASS SICH WAS DREHT",$OHO BANI,2/23/2024,DEKF22400164,"3,291",23.9,"5,40,65,563","7,779","96,72,092",73,"67,44,201","72,802",,,,"8,98,25,480",18,"7,736",,16,"91,08,102",16,,,,"1,98,646",,1
Corazï¿½ï¿½n Roto pt. 3 (feat. Jhayco & Ryan Cas,Corazï¿½ï¿½n Roto p,Brray,09-08-2023,USUM72313435,"3,297",23.9,"13,97,51,220","18,392","1,27,91,215",20,"4,96,41,305","2,48,150",,,,"2,86,19,808",14,,,13,"2,11,845",,,,,"2,35,413",,1
penjaga hati,penjaga hati,Nadhif Basalamah,6/21/2023,DGA052306119,"3,304",23.9,"25,26,81,087","11,425","92,50,560",76,"9,96,27,762","5,16,029",,"3,55,20,433","34,12,58,424","4,52,12,529",10,"4,037",,,,,,,,"1,63,467",,0
"Vaathi Coming (From ""Master"")","Vaathi Coming (From ""Master"")",Anirudh Ravichander,03-10-2020,INS172000675,"3,300",23.9,"9,41,52,948","9,693","39,44,785",56,"67,52,23,784","60,31,429","8,78,600","5,17,67,552","84,88,94,091","15,64,25,286",7,323,,,,8,"14,043",,,"1,66,731",,0
3 Headed Goat (feat. Lil Baby & Polo G),3 Headed Goat,Lil Durk,05-07-2020,USUM72009132,"3,294",23.9,"35,48,89,332","1,21,632","1,25,54,800",65,"14,38,02,247","15,97,342","32,776","1,44,87,556","9,18,65,926","1,97,27,912",53,"5,126",,7,"47,181",7,"2,44,80,728","26,981",,"8,81,261",,1
Monica,LOVE AND CHAOS,Kuami Eugene,10-12-2023,USUYG1502416,"3,298",23.9,"36,04,452",787,"6,24,598",,"74,74,271","69,482","8,39,100","97,69,727","16,75,97,754","72,75,696",4,322,,,,,"7,910",32,,"2,16,973",,1
Home (Lala),Expectations,Dayzy,1/17/2023,QMFMF2214684,"3,288",23.9,,1,63,,"30,71,64,348","6,03,059",,,,"2,66,64,062",,7,,,,,,,,2,,0
La Playa,La Playa,Myke Towers,04-09-2019,QM6MZ1924281,"3,290",23.9,"32,27,57,243","60,278","91,52,097",62,"64,08,16,810","35,77,858","1,91,433","2,82,68,064","21,59,95,105","45,94,525",26,"1,370",27,5,"23,543",16,"1,89,91,444","10,517",,"8,33,830",,1
ýýýýýýýý ýýýýýýýýýý - ýýýýýýýýýý,ýýýýýýýý ýýýýýýýýýý - ýýýýýýýýýý - Single,DJW9,5/16/2023,QZK6L2307991,"3,303",23.9,,8,55,,"23,08,78,707","14,34,387",,,,"58,69,394",,357,,,,,,,,"42,191",,0
UN RAGAZZO UNA RAGAZZA,UN RAGAZZO UNA RAGAZZA,The Kolors,02-07-2024,ITQ002400024,"3,295",23.9,"4,34,99,127","2,622","63,50,531",16,"2,53,64,611","1,17,410",,,,"19,80,24,759",13,"22,672",,5,"31,04,127",14,"19,414",,,"3,23,924",,0
Pasilyo,Pasilyo,SunKissed Lola,10/28/2022,AUBEC2225179,"3,301",23.9,"21,96,19,875","22,109","87,39,702",69,"9,96,34,133","4,78,880","6,29,683","7,13,65,682","51,38,55,630",,4,"1,523",,,,,,,,"2,69,368",,0
Wasted Summers,Wasted Summers,juju<3,07-12-2023,QZNWT2328449,"3,307",23.9,"14,53,23,071","25,526","1,16,85,238",73,"36,63,144","87,691","2,72,260","10,49,29,528","72,58,84,052","24,535",10,67,93,,,,,,"1,693","2,30,133",,0
Ruin,Ruin,USHER,02-02-2024,QZS7J2388470,"3,296",23.9,"1,94,85,870","2,963","1,08,29,291",,"82,61,042","1,39,661",,,,"8,59,79,923",38,"37,311",155,4,"98,287",32,"35,04,611",728,"3,06,630","3,30,495",,0
Hasta la Raï¿½,Hasta la Raï¿½,Natalia Lafourcade,01-06-2015,MXF011400582,"3,310",23.9,"65,72,68,053","85,246","3,02,25,538",74,"1,02,23,23,850","65,92,447","12,78,026","30,70,53,317","2,83,36,51,298","1,36,74,137",62,"7,945",63,39,"12,28,654",62,"2,49,82,305","20,136",,,,0
